Name,Free,Paid,Total,Paid(Rs.)
Surendra MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,7,0,7,0
Jibandra ShahiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Purna Kaji JyapuNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,4,0,4,0
Rupen Shrestha 'Thakwami'NEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Paljum SherpaMr. & Miss Teen Sherpa 2020 - S2,1,0,1,0
Doma Diki SherpaMr. & Miss Teen Sherpa 2020 - S2,1,0,1,0
GIFT NepalNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,2,0,2,0
Amrit Man MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,7,0,7,0
Natyaswor Dress CentreNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,2,0,2,0
Aaradhya Laxmi KhadgiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,3,0,3,0
Deepa MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,7,0,7,0
Anu TiwariModel Superstar,2,0,2,0
Sanjhya Kala KunjaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Manisha RajbahakNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Bishnu Maya ByanjankarNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,4,0,4,0
Matina MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,7,0,7,0
Artomuse Recording StudioNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,4,0,4,0
 Jivit JalmiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Platinum Recording StudioNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,2,0,2,0
Sarita ShahiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,2,0,2,0
Rajendra Kumar MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,8,0,8,0
Prishu GurungModel Superstar,3,0,3,0
Rojina SuwalNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Rahul PrajapatiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,4,0,4,0
Yugen ShakyaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Naresh ShahiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,2,0,2,0
Nirajan PradhanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,9,0,9,0
Bal Krishna Bansi NEPALBHASA STAR MUSIC VIDEO AWARDS-2019,3,0,3,0
Tirthaman MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Sachin SinghNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Dr. Chandra Man BajracharyaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,4,0,4,0
Jyotsana MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,8,0,8,0
Devi KhadgiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Shailendra TuladharNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,6,0,6,0
Jugal DangolNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,3,0,3,0
Pratik ShresthaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,3,0,3,0
Binod ShresthaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,2,0,2,0
BabitaSitaulaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Krishna Bhakta MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,7,0,7,0
Shankar MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,3,0,3,0
Rajan ShakyaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,2,0,2,0
Amar ChitrakarNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Rajendra ShakyaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,4,0,4,0
Shailendra DangolNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,3,0,3,0
LaxmiMaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,2,0,2,0
Nabin MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Ramita MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
MeenaMaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Bijay Maskey NEPALBHASA STAR MUSIC VIDEO AWARDS-2019,3,0,3,0
Audio Nepal Recording StudioNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Sharmila MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,2,0,2,0
JamunaMaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,2,0,2,0
Buddha SayamiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Gujey MalakarNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Suresh KhadgiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,2,0,2,0
Deepmala MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,2,0,2,0
Rukash SubediMan of the World,11,0,11,0
Sameer MaharjanMan of the World,5,0,5,0
Rajendra RawolMan of the World,5,30,35,150
Chiran Jivi ThapaMan of the World,5,0,5,0
Prince Millinium SubbaMan of the World,4,0,4,0
Manoj MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,3,0,3,0
Kebindra LimbuMan of the World,2,0,2,0
Saroj RaiMan of the World,4,0,4,0
Manish DhakalMan of the World,4,0,4,0
Abhilash LamaMan of the World,1,0,1,0
Bhim Tuladhar NEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Janak Thada MagarMan of the World,4,0,4,0
Rajbhai JakamiNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,2,0,2,0
Buddhi LamaNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,2,0,2,0
Sohan ManandharNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,4,0,4,0
Rajya Laxmi SthapitNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Kabya Shrestha NEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Hira Dress CentreNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Bimala MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,2,30,32,150
Ruksana MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,4,0,4,0
Bhuwan MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,3,5,8,25
Suraj NapitNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Basanta MaharjanNEPALBHASA STAR MUSIC VIDEO AWARDS-2019,1,0,1,0
Fursadma (SDG -17)Actions for SDGs 2019,27,0,27,0
Agri Nepal (SDG-5)Actions for SDGs 2019,13,0,13,0
Teaching Rights through Trainings (SDG- 16)Actions for SDGs 2019,9,0,9,0
Book Sharing App (SDG-4)Actions for SDGs 2019,64,0,64,0
Youth Hub Organic Farm (SDG 4)Actions for SDGs 2019,5,0,5,0
Prachi SubediMechi Singing Star,12,0,12,0
Anushka MallaMechi Singing Star,44,0,44,0
Rosha PhuyalMechi Singing Star,10,5,15,25
Biraj PrasaiMechi Singing Star,5,0,5,0
Samikshya BistaMechi Singing Star,10,0,10,0
Roshni GahatrajMechi Singing Star,2,0,2,0
Sristi SharmaMechi Singing Star,6,0,6,0
Rachana RimalMechi Singing Star,12,0,12,0
Rojal ShresthaMechi Singing Star,4,0,4,0
Samir RasailyMechi Singing Star,2,0,2,0
Prenija DhakalMechi Singing Star,5,0,5,0
Samjhana PradhanMechi Singing Star,3,0,3,0
Yogesh SiwakotiMechi Singing Star,2,0,2,0
Ritu RaiMechi Singing Star,4,0,4,0
Axix RuchalMechi Singing Star,1,0,1,0
Ashika KuwarMechi Singing Star,1,0,1,0
Anuja GiriMechi Singing Star,1,0,1,0
Pawan DhakalMechi Singing Star,1,0,1,0
KIRAN MICHEALOS Nepal Music Award 2076,5,600,605,3000
PRAKASH KATUWALOS Nepal Music Award 2076,1,25,26,125
RADHIKA HAMALOS Nepal Music Award 2076,0,25,25,125
GANENDRA SHARMA HUMGAIOS Nepal Music Award 2076,1,25,26,125
RAJESH GHIMIREOS Nepal Music Award 2076,2,25,27,125
SURAJ THAPAOS Nepal Music Award 2076,3,50,53,250
SAHADEV KOIRALAOS Nepal Music Award 2076,6,60,66,300
SANJU NEUPANEOS Nepal Music Award 2076,1,950,951,4750
NIRU GURUNGOS Nepal Music Award 2076,3,750,753,3750
SAMBHU KUNWAROS Nepal Music Award 2076,6,1305,1311,6525
KUSHAL BISHWOKARMAOS Nepal Music Award 2076,3,100,103,500
SURAJ SHRESTHAOS Nepal Music Award 2076,2,2975,2977,14875
